CustomerID,Segmento,Sexo,Idade,Distrito,CanalPreferencial
CUST000001,Residencial,M,33,Lisboa,App/Online
CUST000002,Residencial,M,39,Porto,Loja/Telefone
CUST000003,Residencial,F,52,Braga,Loja/Telefone
CUST000004,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000005,Residencial,M,27,Braga,App/Online
CUST000006,Empresarial,Empresa,,Viseu,Loja/Telefone
CUST000007,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000008,Residencial,M,41,Porto,Loja/Telefone
CUST000009,Residencial,M,61,Coimbra,Loja/Telefone
CUST000010,Residencial,F,28,Leiria,App/Online
CUST000011,Residencial,F,23,Porto,App/Online
CUST000012,Residencial,M,56,Faro,Loja/Telefone
CUST000013,Residencial,F,56,Braga,Loja/Telefone
CUST000014,Residencial,M,34,Porto,App/Online
CUST000015,Residencial,M,47,Lisboa,Loja/Telefone
CUST000016,Residencial,F,67,Porto,Loja/Telefone
CUST000017,VIP,M,43,Porto,Loja/Telefone
CUST000018,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000019,Residencial,M,18,Lisboa,App/Online
CUST000020,Residencial,M,73,Porto,Loja/Telefone
CUST000021,Residencial,F,29,Lisboa,App/Online
CUST000022,Residencial,M,56,Viana do Castelo,Loja/Telefone
CUST000023,Residencial,M,31,Faro,App/Online
CUST000024,Residencial,M,32,Bragança,App/Online
CUST000025,Residencial,M,59,Lisboa,Loja/Telefone
CUST000026,Residencial,F,45,Porto,Loja/Telefone
CUST000027,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000028,Residencial,M,41,Santarém,Loja/Telefone
CUST000029,Residencial,F,65,Porto,Loja/Telefone
CUST000030,Residencial,F,46,Lisboa,Loja/Telefone
CUST000031,Residencial,M,56,Porto,Loja/Telefone
CUST000032,Residencial,M,46,Porto,Loja/Telefone
CUST000033,Residencial,M,32,Porto,App/Online
CUST000034,Residencial,M,62,Santarém,Loja/Telefone
CUST000035,Empresarial,Empresa,,Castelo Branco,Loja/Telefone
CUST000036,Residencial,M,75,Setúbal,Loja/Telefone
CUST000037,Residencial,M,42,Setúbal,Loja/Telefone
CUST000038,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000039,Residencial,M,48,Viseu,Loja/Telefone
CUST000040,Residencial,F,44,Lisboa,Loja/Telefone
CUST000041,Residencial,M,66,Lisboa,Loja/Telefone
CUST000042,Residencial,M,55,Faro,Loja/Telefone
CUST000043,Residencial,F,46,Leiria,Loja/Telefone
CUST000044,Residencial,F,48,Faro,Loja/Telefone
CUST000045,Empresarial,Empresa,,Faro,Loja/Telefone
CUST000046,Residencial,M,51,Coimbra,Loja/Telefone
CUST000047,Residencial,F,54,Madeira,Loja/Telefone
CUST000048,Residencial,F,39,Lisboa,Loja/Telefone
CUST000049,Empresarial,Empresa,,Aveiro,Loja/Telefone
CUST000050,Residencial,M,45,Porto,Loja/Telefone
CUST000051,Residencial,F,45,Setúbal,Loja/Telefone
CUST000052,Residencial,F,39,Viseu,Loja/Telefone
CUST000053,Residencial,M,27,Faro,App/Online
CUST000054,Residencial,M,30,Lisboa,App/Online
CUST000055,Residencial,M,47,Setúbal,Loja/Telefone
CUST000056,Residencial,M,47,Lisboa,Loja/Telefone
CUST000057,Residencial,M,42,Lisboa,Loja/Telefone
CUST000058,Residencial,F,58,Porto,Loja/Telefone
CUST000059,Residencial,M,43,Setúbal,Loja/Telefone
CUST000060,Residencial,F,47,Braga,Loja/Telefone
CUST000061,Residencial,F,56,Porto,Loja/Telefone
CUST000062,Residencial,M,49,Santarém,Loja/Telefone
CUST000063,Residencial,M,28,Faro,App/Online
CUST000064,Residencial,M,72,Porto,Loja/Telefone
CUST000065,Residencial,F,30,Braga,App/Online
CUST000066,Residencial,F,39,Lisboa,Loja/Telefone
CUST000067,Residencial,F,67,Madeira,Loja/Telefone
CUST000068,Residencial,F,43,Porto,Loja/Telefone
CUST000069,Residencial,M,28,Leiria,App/Online
CUST000070,Residencial,M,42,Porto,Loja/Telefone
CUST000071,VIP,F,49,Leiria,Loja/Telefone
CUST000072,Residencial,F,33,Lisboa,App/Online
CUST000073,VIP,M,60,Lisboa,Loja/Telefone
CUST000074,Residencial,M,88,Porto,Loja/Telefone
CUST000075,Residencial,M,50,Viseu,Loja/Telefone
CUST000076,Residencial,F,64,Vila Real,Loja/Telefone
CUST000077,Residencial,F,58,Setúbal,Loja/Telefone
CUST000078,Residencial,M,18,Faro,App/Online
CUST000079,Residencial,M,29,Lisboa,App/Online
CUST000080,Residencial,M,52,Leiria,Loja/Telefone
CUST000081,Residencial,M,40,Coimbra,Loja/Telefone
CUST000082,Residencial,F,28,Faro,App/Online
CUST000083,Residencial,F,55,Porto,Loja/Telefone
CUST000084,Residencial,M,63,Porto,Loja/Telefone
CUST000085,Residencial,M,41,Aveiro,Loja/Telefone
CUST000086,Empresarial,Empresa,,Aveiro,Loja/Telefone
CUST000087,Residencial,M,33,Setúbal,App/Online
CUST000088,VIP,F,27,Lisboa,App/Online
CUST000089,Residencial,F,42,Setúbal,Loja/Telefone
CUST000090,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000091,Residencial,F,49,Lisboa,Loja/Telefone
CUST000092,Residencial,F,18,Beja,App/Online
CUST000093,Residencial,M,18,Bragança,App/Online
CUST000094,Residencial,M,36,Lisboa,Loja/Telefone
CUST000095,Empresarial,Empresa,,Leiria,Loja/Telefone
CUST000096,Residencial,F,41,Faro,Loja/Telefone
CUST000097,Residencial,M,64,Porto,Loja/Telefone
CUST000098,Residencial,F,73,Aveiro,Loja/Telefone
CUST000099,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000100,Residencial,M,18,Lisboa,App/Online
CUST000101,Residencial,F,55,Braga,Loja/Telefone
CUST000102,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000103,Residencial,F,46,Lisboa,Loja/Telefone
CUST000104,Residencial,M,43,Guarda,Loja/Telefone
CUST000105,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000106,Residencial,M,56,Lisboa,Loja/Telefone
CUST000107,Residencial,F,81,Aveiro,Loja/Telefone
CUST000108,Residencial,M,24,Lisboa,App/Online
CUST000109,Residencial,M,68,Porto,Loja/Telefone
CUST000110,Residencial,M,18,Leiria,App/Online
CUST000111,Residencial,F,42,Porto,Loja/Telefone
CUST000112,Residencial,M,81,Santarém,Loja/Telefone
CUST000113,VIP,M,74,Porto,Loja/Telefone
CUST000114,Residencial,F,55,Lisboa,Loja/Telefone
CUST000115,Residencial,F,59,Porto,Loja/Telefone
CUST000116,VIP,M,30,Lisboa,App/Online
CUST000117,VIP,M,42,Coimbra,Loja/Telefone
CUST000118,Residencial,M,56,Faro,Loja/Telefone
CUST000119,Empresarial,Empresa,,Setúbal,Loja/Telefone
CUST000120,Residencial,F,57,Lisboa,Loja/Telefone
CUST000121,Residencial,M,52,Lisboa,Loja/Telefone
CUST000122,Residencial,M,71,Beja,Loja/Telefone
CUST000123,Empresarial,Empresa,,Madeira,Loja/Telefone
CUST000124,Empresarial,Empresa,,Porto,Loja/Telefone
CUST000125,Residencial,M,43,Madeira,Loja/Telefone
CUST000126,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000127,Empresarial,Empresa,,Viseu,Loja/Telefone
CUST000128,Empresarial,Empresa,,Coimbra,Loja/Telefone
CUST000129,Residencial,F,37,Vila Real,Loja/Telefone
CUST000130,Residencial,M,45,Açores,Loja/Telefone
CUST000131,Residencial,M,18,Viana do Castelo,App/Online
CUST000132,Residencial,M,40,Porto,Loja/Telefone
CUST000133,Empresarial,Empresa,,Braga,Loja/Telefone
CUST000134,VIP,M,46,Porto,Loja/Telefone
CUST000135,Residencial,M,18,Braga,App/Online
CUST000136,Residencial,F,58,Açores,Loja/Telefone
CUST000137,Residencial,M,35,Leiria,Loja/Telefone
CUST000138,Residencial,F,35,Lisboa,Loja/Telefone
CUST000139,VIP,M,50,Leiria,Loja/Telefone
CUST000140,Residencial,M,26,Setúbal,App/Online
CUST000141,Residencial,M,41,Porto,Loja/Telefone
CUST000142,Residencial,F,58,Santarém,Loja/Telefone
CUST000143,Residencial,F,36,Açores,Loja/Telefone
CUST000144,Residencial,M,54,Porto,Loja/Telefone
CUST000145,Residencial,M,48,Lisboa,Loja/Telefone
CUST000146,Residencial,F,70,Lisboa,Loja/Telefone
CUST000147,Residencial,M,60,Coimbra,Loja/Telefone
CUST000148,Residencial,M,73,Lisboa,Loja/Telefone
CUST000149,Residencial,M,33,Porto,App/Online
CUST000150,Residencial,M,49,Aveiro,Loja/Telefone
CUST000151,Residencial,M,53,Porto,Loja/Telefone
CUST000152,Residencial,M,29,Porto,App/Online
CUST000153,VIP,M,40,Aveiro,Loja/Telefone
CUST000154,Residencial,M,80,Lisboa,Loja/Telefone
CUST000155,Empresarial,Empresa,,Faro,Loja/Telefone
CUST000156,Residencial,M,60,Lisboa,Loja/Telefone
CUST000157,Residencial,M,47,Porto,Loja/Telefone
CUST000158,Residencial,F,37,Aveiro,Loja/Telefone
CUST000159,Residencial,F,36,Porto,Loja/Telefone
CUST000160,Empresarial,Empresa,,Lisboa,Loja/Telefone
CUST000161,Residencial,M,18,Porto,App/Online
