ChurnID,CustomerID,Date,Motivo
CHRN00000,CUST048104,2024-04-06,Mau Atendimento
CHRN00001,CUST046635,2023-04-06,Concorrência
CHRN00002,CUST023036,2025-12-06,Concorrência
CHRN00003,CUST039718,2023-03-27,Mau Atendimento
CHRN00004,CUST015996,2023-11-15,Concorrência
CHRN00005,CUST045180,2025-02-13,Concorrência
CHRN00006,CUST005761,2024-02-10,Insatisfação Rede
CHRN00007,CUST000552,2025-06-26,Insatisfação Rede
CHRN00008,CUST037926,2024-07-11,Insatisfação Rede
CHRN00009,CUST049918,2025-01-09,Mau Atendimento
CHRN00010,CUST018886,2023-08-19,Preço
CHRN00011,CUST027726,2025-03-19,Mau Atendimento
CHRN00012,CUST023082,2025-06-03,Preço
CHRN00013,CUST044821,2024-01-01,Preço
CHRN00014,CUST017276,2023-09-03,Insatisfação Rede
CHRN00015,CUST043132,2023-10-13,Insatisfação Rede
CHRN00016,CUST033348,2025-12-05,Concorrência
CHRN00017,CUST039361,2024-10-16,Mau Atendimento
CHRN00018,CUST038323,2025-08-23,Mau Atendimento
CHRN00019,CUST016880,2023-10-10,Mau Atendimento
CHRN00020,CUST023658,2023-08-26,Mau Atendimento
CHRN00021,CUST013561,2025-01-23,Concorrência
CHRN00022,CUST011326,2025-04-29,Preço
CHRN00023,CUST018175,2024-09-07,Concorrência
CHRN00024,CUST042717,2024-08-21,Preço
CHRN00025,CUST039707,2025-05-16,Insatisfação Rede
CHRN00026,CUST025085,2024-03-09,Concorrência
CHRN00027,CUST032280,2024-05-02,Concorrência
CHRN00028,CUST025432,2025-07-08,Insatisfação Rede
CHRN00029,CUST005793,2024-11-17,Mau Atendimento
CHRN00030,CUST042036,2025-11-18,Concorrência
CHRN00031,CUST003336,2024-02-07,Mau Atendimento
CHRN00032,CUST006806,2023-10-05,Mau Atendimento
CHRN00033,CUST002590,2023-02-14,Insatisfação Rede
CHRN00034,CUST009635,2025-06-08,Insatisfação Rede
CHRN00035,CUST027290,2025-09-25,Preço
CHRN00036,CUST032911,2024-02-06,Mau Atendimento
CHRN00037,CUST000028,2023-07-31,Insatisfação Rede
CHRN00038,CUST037632,2023-01-16,Insatisfação Rede
CHRN00039,CUST046872,2023-10-25,Preço
CHRN00040,CUST037164,2025-02-12,Preço
CHRN00041,CUST008213,2023-02-07,Insatisfação Rede
CHRN00042,CUST023424,2024-07-12,Preço
CHRN00043,CUST020385,2024-01-03,Insatisfação Rede
CHRN00044,CUST026020,2023-11-07,Insatisfação Rede
CHRN00045,CUST014890,2025-02-17,Insatisfação Rede
CHRN00046,CUST004989,2024-09-12,Preço
CHRN00047,CUST025501,2025-11-19,Preço
CHRN00048,CUST021149,2023-04-18,Mau Atendimento
CHRN00049,CUST035868,2025-08-05,Mau Atendimento
CHRN00050,CUST041304,2023-07-06,Mau Atendimento
CHRN00051,CUST020955,2023-09-27,Insatisfação Rede
CHRN00052,CUST011189,2025-05-27,Concorrência
CHRN00053,CUST000388,2023-05-18,Concorrência
CHRN00054,CUST021884,2024-04-15,Preço
CHRN00055,CUST038158,2025-08-12,Preço
CHRN00056,CUST043465,2025-08-27,Mau Atendimento
CHRN00057,CUST029002,2025-03-30,Insatisfação Rede
CHRN00058,CUST024371,2023-04-29,Concorrência
CHRN00059,CUST029094,2023-02-02,Concorrência
CHRN00060,CUST011282,2023-10-09,Concorrência
CHRN00061,CUST005523,2025-05-12,Preço
CHRN00062,CUST047551,2024-01-16,Mau Atendimento
CHRN00063,CUST011707,2025-08-25,Insatisfação Rede
CHRN00064,CUST002505,2025-06-13,Concorrência
CHRN00065,CUST019524,2023-08-28,Preço
CHRN00066,CUST040134,2024-08-21,Mau Atendimento
CHRN00067,CUST035747,2023-07-19,Concorrência
CHRN00068,CUST016145,2024-08-09,Mau Atendimento
CHRN00069,CUST021528,2025-04-22,Insatisfação Rede
CHRN00070,CUST035143,2024-01-16,Insatisfação Rede
CHRN00071,CUST032434,2023-07-10,Mau Atendimento
CHRN00072,CUST027113,2023-01-08,Mau Atendimento
CHRN00073,CUST033928,2024-01-31,Mau Atendimento
CHRN00074,CUST014861,2025-10-19,Insatisfação Rede
CHRN00075,CUST007981,2023-01-08,Concorrência
CHRN00076,CUST013189,2023-07-06,Mau Atendimento
CHRN00077,CUST041714,2024-04-17,Insatisfação Rede
CHRN00078,CUST028827,2025-05-15,Concorrência
CHRN00079,CUST006803,2025-04-11,Preço
CHRN00080,CUST038389,2025-08-26,Insatisfação Rede
CHRN00081,CUST049804,2023-09-18,Concorrência
CHRN00082,CUST027923,2023-05-04,Preço
CHRN00083,CUST009665,2024-03-02,Concorrência
CHRN00084,CUST019524,2025-05-19,Concorrência
CHRN00085,CUST013643,2024-03-27,Preço
CHRN00086,CUST044161,2024-10-20,Mau Atendimento
CHRN00087,CUST042174,2025-04-10,Insatisfação Rede
CHRN00088,CUST040625,2025-12-18,Preço
CHRN00089,CUST018361,2025-01-31,Insatisfação Rede
CHRN00090,CUST023695,2025-05-30,Preço
CHRN00091,CUST037879,2025-08-10,Preço
CHRN00092,CUST043632,2023-02-07,Mau Atendimento
CHRN00093,CUST033454,2023-10-04,Concorrência
CHRN00094,CUST031361,2024-04-27,Insatisfação Rede
CHRN00095,CUST009923,2025-12-16,Insatisfação Rede
CHRN00096,CUST015778,2023-02-04,Preço
CHRN00097,CUST010427,2025-02-04,Mau Atendimento
CHRN00098,CUST031148,2025-11-02,Concorrência
CHRN00099,CUST030100,2025-02-17,Insatisfação Rede
CHRN00100,CUST045825,2024-03-13,Insatisfação Rede
CHRN00101,CUST047987,2025-02-05,Preço
CHRN00102,CUST032269,2024-01-05,Insatisfação Rede
CHRN00103,CUST024358,2025-01-17,Insatisfação Rede
CHRN00104,CUST010142,2023-06-02,Preço
CHRN00105,CUST014391,2024-03-17,Mau Atendimento
CHRN00106,CUST033166,2023-12-08,Mau Atendimento
CHRN00107,CUST008153,2024-05-09,Concorrência
CHRN00108,CUST041777,2024-02-20,Insatisfação Rede
CHRN00109,CUST045338,2024-01-23,Mau Atendimento
CHRN00110,CUST035698,2024-02-21,Preço
CHRN00111,CUST003307,2025-01-16,Insatisfação Rede
CHRN00112,CUST034429,2025-04-06,Insatisfação Rede
CHRN00113,CUST001515,2025-05-03,Concorrência
CHRN00114,CUST043174,2024-02-26,Insatisfação Rede
CHRN00115,CUST043876,2023-10-19,Preço
CHRN00116,CUST047721,2025-12-10,Insatisfação Rede
CHRN00117,CUST039972,2023-08-07,Concorrência
CHRN00118,CUST041680,2024-05-11,Concorrência
CHRN00119,CUST018251,2023-07-23,Preço
CHRN00120,CUST009109,2025-04-26,Mau Atendimento
CHRN00121,CUST044093,2023-01-16,Concorrência
CHRN00122,CUST025559,2025-08-12,Preço
CHRN00123,CUST007263,2025-05-10,Preço
CHRN00124,CUST043379,2023-05-05,Preço
CHRN00125,CUST028062,2024-08-30,Concorrência
CHRN00126,CUST044542,2024-03-26,Insatisfação Rede
CHRN00127,CUST020009,2024-01-03,Mau Atendimento
CHRN00128,CUST023927,2025-07-21,Concorrência
CHRN00129,CUST017981,2023-05-22,Insatisfação Rede
CHRN00130,CUST011882,2024-12-07,Preço
CHRN00131,CUST038207,2025-12-29,Insatisfação Rede
CHRN00132,CUST030381,2024-03-31,Concorrência
CHRN00133,CUST035579,2024-11-07,Preço
CHRN00134,CUST013538,2025-03-31,Insatisfação Rede
CHRN00135,CUST040204,2023-02-21,Concorrência
CHRN00136,CUST001723,2024-04-01,Mau Atendimento
CHRN00137,CUST029165,2025-07-09,Mau Atendimento
CHRN00138,CUST006370,2025-05-31,Preço
CHRN00139,CUST020924,2025-01-17,Concorrência
CHRN00140,CUST016762,2025-08-19,Mau Atendimento
CHRN00141,CUST038492,2024-02-24,Mau Atendimento
CHRN00142,CUST007587,2025-08-02,Preço
CHRN00143,CUST002496,2024-05-19,Mau Atendimento
CHRN00144,CUST029208,2023-09-18,Preço
CHRN00145,CUST015691,2024-07-12,Concorrência
CHRN00146,CUST033147,2025-11-23,Preço
CHRN00147,CUST012047,2024-05-20,Insatisfação Rede
CHRN00148,CUST048442,2025-05-09,Preço
CHRN00149,CUST026538,2025-05-12,Mau Atendimento
CHRN00150,CUST002939,2024-02-12,Insatisfação Rede
CHRN00151,CUST048908,2023-09-19,Preço
CHRN00152,CUST013124,2023-04-15,Mau Atendimento
CHRN00153,CUST024257,2024-10-13,Preço
CHRN00154,CUST023479,2025-09-03,Preço
CHRN00155,CUST044316,2025-04-01,Mau Atendimento
CHRN00156,CUST028786,2024-05-03,Insatisfação Rede
CHRN00157,CUST027559,2023-06-14,Mau Atendimento
CHRN00158,CUST011475,2024-10-26,Preço
CHRN00159,CUST031060,2025-10-01,Insatisfação Rede
CHRN00160,CUST017176,2024-11-26,Preço
CHRN00161,CUST016205,2025-02-07,Mau Atendimento
CHRN00162,CUST037650,2024-01-25,Concorrência
CHRN00163,CUST045399,2025-12-01,Preço
CHRN00164,CUST026544,2023-08-14,Mau Atendimento
CHRN00165,CUST032883,2025-10-11,Preço
CHRN00166,CUST013066,2024-09-01,Mau Atendimento
CHRN00167,CUST017982,2023-07-10,Concorrência
CHRN00168,CUST041889,2024-04-18,Preço
CHRN00169,CUST006277,2023-04-29,Mau Atendimento
CHRN00170,CUST027924,2024-12-24,Mau Atendimento
CHRN00171,CUST009564,2024-10-31,Insatisfação Rede
CHRN00172,CUST035655,2023-04-04,Preço
CHRN00173,CUST008167,2024-11-13,Concorrência
CHRN00174,CUST020879,2024-12-26,Insatisfação Rede
CHRN00175,CUST018905,2023-07-30,Insatisfação Rede
CHRN00176,CUST000705,2025-07-05,Preço
CHRN00177,CUST007999,2023-05-08,Insatisfação Rede
CHRN00178,CUST006142,2025-06-11,Preço
CHRN00179,CUST008925,2025-03-17,Mau Atendimento
CHRN00180,CUST042422,2024-11-02,Insatisfação Rede
CHRN00181,CUST025115,2024-12-28,Concorrência
CHRN00182,CUST045194,2025-06-16,Insatisfação Rede
CHRN00183,CUST048173,2024-11-24,Concorrência
CHRN00184,CUST033684,2024-09-15,Concorrência
CHRN00185,CUST012366,2025-09-19,Insatisfação Rede
CHRN00186,CUST042861,2023-10-05,Concorrência
CHRN00187,CUST022527,2025-03-11,Concorrência
CHRN00188,CUST033481,2025-08-13,Mau Atendimento
CHRN00189,CUST001627,2023-03-27,Preço
CHRN00190,CUST004311,2023-02-08,Preço
CHRN00191,CUST030984,2025-01-12,Concorrência
CHRN00192,CUST031532,2024-08-26,Mau Atendimento
CHRN00193,CUST011901,2024-10-21,Insatisfação Rede
CHRN00194,CUST001031,2023-07-12,Preço
CHRN00195,CUST005575,2023-09-18,Mau Atendimento
CHRN00196,CUST030620,2025-04-11,Mau Atendimento
CHRN00197,CUST012901,2025-11-14,Preço
CHRN00198,CUST014714,2023-04-17,Concorrência
CHRN00199,CUST029233,2025-03-05,Concorrência
CHRN00200,CUST005990,2023-06-15,Insatisfação Rede
CHRN00201,CUST043130,2024-03-31,Preço
CHRN00202,CUST007223,2025-09-28,Insatisfação Rede
CHRN00203,CUST043173,2025-12-04,Concorrência
CHRN00204,CUST030104,2023-04-15,Insatisfação Rede
CHRN00205,CUST008680,2024-11-17,Mau Atendimento
CHRN00206,CUST011396,2024-01-07,Preço
CHRN00207,CUST038958,2025-12-31,Preço
CHRN00208,CUST005261,2023-04-01,Insatisfação Rede
CHRN00209,CUST049162,2023-03-14,Insatisfação Rede
CHRN00210,CUST013476,2025-06-25,Preço
CHRN00211,CUST012696,2023-05-03,Mau Atendimento
CHRN00212,CUST008628,2023-04-03,Mau Atendimento
CHRN00213,CUST014848,2023-09-24,Preço
CHRN00214,CUST018407,2023-01-28,Mau Atendimento
CHRN00215,CUST035376,2023-03-21,Preço
CHRN00216,CUST045978,2025-04-08,Insatisfação Rede
CHRN00217,CUST029423,2024-10-29,Concorrência
CHRN00218,CUST003384,2025-02-03,Mau Atendimento
CHRN00219,CUST007955,2023-11-22,Preço
CHRN00220,CUST036154,2025-12-07,Mau Atendimento
CHRN00221,CUST026689,2024-04-17,Insatisfação Rede
CHRN00222,CUST048684,2023-10-07,Preço
CHRN00223,CUST036290,2025-12-17,Insatisfação Rede
CHRN00224,CUST027563,2024-12-18,Concorrência
CHRN00225,CUST003218,2023-05-11,Concorrência
CHRN00226,CUST011109,2024-10-02,Preço
CHRN00227,CUST011439,2024-08-02,Preço
CHRN00228,CUST004703,2025-01-30,Preço
CHRN00229,CUST044070,2023-04-22,Insatisfação Rede
CHRN00230,CUST030114,2025-12-24,Preço
CHRN00231,CUST028017,2023-02-05,Concorrência
