CustomerID,TicketID,Date,FCR,NPS_Score,Categoria
CUST007328,TKT0072304,2022-03-29,0,0,Detrator
CUST022575,TKT0130084,2023-08-17,1,9,Promotor
CUST036791,TKT0144257,2025-01-11,1,8,Neutro
CUST032918,TKT0114803,2024-02-13,0,1,Detrator
CUST008282,TKT0070599,2024-05-08,1,9,Promotor
CUST026961,TKT0107917,2024-01-22,1,8,Neutro
CUST040784,TKT0015644,2023-04-24,1,10,Promotor
CUST011683,TKT0127667,2024-01-24,1,8,Neutro
CUST012455,TKT0105380,2023-07-19,0,5,Detrator
CUST047691,TKT0004627,2025-08-28,1,10,Promotor
CUST022325,TKT0058675,2022-06-07,1,9,Promotor
CUST040769,TKT0031096,2025-11-21,1,9,Promotor
CUST032118,TKT0122350,2024-02-16,1,8,Neutro
CUST015407,TKT0074111,2025-09-08,1,8,Neutro
CUST022192,TKT0096116,2024-07-31,1,8,Neutro
CUST042175,TKT0105360,2022-10-14,0,5,Detrator
CUST032752,TKT0013673,2024-04-29,0,4,Detrator
CUST040859,TKT0139195,2024-11-03,1,9,Promotor
CUST037926,TKT0072549,2024-05-31,1,9,Promotor
CUST010304,TKT0050549,2022-06-12,1,10,Promotor
CUST003947,TKT0006507,2023-09-02,1,8,Neutro
CUST026047,TKT0105714,2025-03-13,1,9,Promotor
CUST025245,TKT0055889,2024-08-29,1,9,Promotor
CUST038725,TKT0051671,2023-07-29,0,4,Detrator
CUST008109,TKT0015217,2024-10-24,1,9,Promotor
CUST044268,TKT0108758,2025-07-18,1,10,Promotor
CUST037254,TKT0051306,2023-09-28,1,10,Promotor
CUST040095,TKT0012009,2023-01-16,1,8,Neutro
CUST048062,TKT0113839,2024-04-26,0,1,Detrator
CUST049934,TKT0006386,2025-12-20,0,6,Detrator
CUST041840,TKT0090620,2024-07-07,1,8,Neutro
CUST020670,TKT0102596,2022-06-09,1,8,Neutro
CUST016334,TKT0145814,2022-08-21,1,9,Promotor
CUST034775,TKT0033417,2023-07-23,1,9,Promotor
CUST032723,TKT0122498,2022-01-15,1,9,Promotor
CUST005553,TKT0111955,2024-12-15,1,10,Promotor
CUST029017,TKT0043464,2022-04-15,1,10,Promotor
CUST014667,TKT0015016,2023-12-26,1,8,Neutro
CUST029045,TKT0122465,2025-02-26,1,8,Neutro
CUST024835,TKT0019759,2023-03-31,1,8,Neutro
CUST022102,TKT0013886,2022-12-31,1,8,Neutro
CUST045693,TKT0060055,2025-11-19,0,3,Detrator
CUST032480,TKT0046805,2022-05-18,0,5,Detrator
CUST033363,TKT0084296,2022-02-05,1,10,Promotor
CUST029498,TKT0079739,2024-05-20,0,0,Detrator
CUST005012,TKT0024971,2024-03-09,1,8,Neutro
CUST012067,TKT0079703,2025-09-23,1,8,Neutro
CUST006293,TKT0086649,2023-08-03,0,2,Detrator
CUST049601,TKT0088297,2022-01-15,0,5,Detrator
CUST017080,TKT0096612,2022-06-18,1,9,Promotor
CUST031709,TKT0069939,2025-01-04,1,9,Promotor
CUST019384,TKT0056346,2022-03-30,1,9,Promotor
CUST035481,TKT0004470,2022-03-15,0,1,Detrator
CUST040876,TKT0077019,2025-04-14,0,6,Detrator
CUST022982,TKT0033156,2022-10-12,1,9,Promotor
CUST016282,TKT0141472,2022-02-01,1,10,Promotor
CUST042285,TKT0090541,2023-10-23,0,6,Detrator
CUST023615,TKT0069093,2023-07-31,1,9,Promotor
CUST014497,TKT0015459,2023-09-14,1,10,Promotor
CUST005956,TKT0132883,2022-01-17,0,4,Detrator
CUST037011,TKT0072359,2024-07-20,1,9,Promotor
CUST008822,TKT0047934,2024-06-21,1,10,Promotor
CUST008725,TKT0134104,2024-10-22,1,8,Neutro
CUST006517,TKT0040333,2023-07-11,1,8,Neutro
CUST013293,TKT0054886,2023-10-05,1,8,Neutro
CUST013073,TKT0062722,2023-08-25,0,3,Detrator
CUST024168,TKT0079544,2025-07-05,1,9,Promotor
CUST042092,TKT0124153,2025-12-07,0,0,Detrator
CUST010089,TKT0035642,2024-05-19,1,9,Promotor
CUST045101,TKT0112545,2023-06-01,0,5,Detrator
CUST026452,TKT0079882,2025-11-24,0,6,Detrator
CUST010964,TKT0010589,2022-05-22,0,0,Detrator
CUST010281,TKT0075969,2025-03-07,0,6,Detrator
CUST032504,TKT0041250,2025-09-21,1,10,Promotor
CUST009001,TKT0016778,2022-08-20,1,10,Promotor
CUST041297,TKT0065423,2023-02-06,1,8,Neutro
CUST007860,TKT0146559,2024-10-16,1,10,Promotor
CUST028347,TKT0021947,2022-07-05,1,9,Promotor
CUST015076,TKT0011945,2024-08-08,1,10,Promotor
CUST036260,TKT0063606,2025-07-07,1,8,Neutro
CUST021026,TKT0006821,2024-09-29,1,9,Promotor
CUST006525,TKT0007734,2023-07-03,1,9,Promotor
CUST031398,TKT0142598,2025-02-07,0,1,Detrator
CUST034015,TKT0130509,2022-11-20,1,10,Promotor
CUST002813,TKT0101452,2022-09-11,1,10,Promotor
CUST012631,TKT0101843,2024-01-27,1,9,Promotor
CUST039432,TKT0050999,2024-08-20,1,9,Promotor
CUST011184,TKT0056339,2024-03-03,0,1,Detrator
CUST026798,TKT0006927,2023-09-20,1,8,Neutro
CUST025922,TKT0075742,2025-06-29,1,9,Promotor
CUST034528,TKT0135896,2025-10-20,0,1,Detrator
CUST004672,TKT0128609,2023-09-24,0,1,Detrator
CUST038970,TKT0022453,2025-04-29,1,8,Neutro
CUST047906,TKT0018592,2023-05-30,0,1,Detrator
CUST007275,TKT0047730,2023-04-12,1,8,Neutro
CUST046818,TKT0133103,2022-02-11,1,9,Promotor
CUST030706,TKT0075191,2022-07-08,1,9,Promotor
CUST032655,TKT0075115,2022-08-08,1,9,Promotor
CUST023469,TKT0102074,2025-07-06,1,9,Promotor
CUST023477,TKT0130736,2022-10-04,1,8,Neutro
CUST039630,TKT0143335,2023-04-02,1,8,Neutro
CUST045134,TKT0074553,2023-03-30,1,9,Promotor
CUST013698,TKT0114254,2023-06-27,1,10,Promotor
CUST008097,TKT0099036,2023-10-31,1,10,Promotor
CUST016095,TKT0115384,2025-02-13,1,8,Neutro
CUST038240,TKT0076123,2022-02-25,1,8,Neutro
CUST042342,TKT0105044,2024-10-24,1,10,Promotor
CUST031738,TKT0080615,2024-06-21,1,10,Promotor
CUST002085,TKT0062646,2025-09-27,0,5,Detrator
CUST043020,TKT0075279,2025-07-29,1,10,Promotor
CUST048765,TKT0061987,2022-08-09,0,1,Detrator
CUST015842,TKT0066130,2022-07-22,1,9,Promotor
CUST012137,TKT0017960,2022-03-30,1,10,Promotor
CUST019116,TKT0038880,2025-11-21,0,4,Detrator
CUST010615,TKT0066584,2023-06-30,1,8,Neutro
CUST014317,TKT0095679,2025-07-03,1,8,Neutro
CUST022357,TKT0024823,2024-08-17,1,9,Promotor
CUST013662,TKT0050872,2022-11-04,1,10,Promotor
CUST030834,TKT0101319,2023-01-21,1,9,Promotor
CUST012229,TKT0042070,2023-04-24,0,4,Detrator
CUST017835,TKT0062562,2022-12-06,1,10,Promotor
CUST034255,TKT0000594,2023-02-28,1,10,Promotor
CUST020673,TKT0104796,2022-08-09,0,3,Detrator
CUST006156,TKT0092404,2022-12-18,1,9,Promotor
CUST047228,TKT0031526,2022-09-11,1,10,Promotor
CUST019772,TKT0072833,2024-07-05,1,8,Neutro
CUST043534,TKT0106604,2025-04-06,1,10,Promotor
CUST004589,TKT0048608,2022-07-19,1,8,Neutro
CUST032864,TKT0037062,2022-07-07,1,9,Promotor
CUST040411,TKT0120082,2025-06-14,1,10,Promotor
CUST044540,TKT0140549,2022-01-14,1,9,Promotor
CUST007983,TKT0024170,2022-12-27,0,6,Detrator
CUST028321,TKT0102339,2022-03-14,0,1,Detrator
CUST003802,TKT0024531,2024-06-26,0,3,Detrator
CUST027346,TKT0106475,2024-12-28,1,9,Promotor
CUST027818,TKT0052523,2023-01-05,0,4,Detrator
CUST045988,TKT0116425,2024-04-13,1,9,Promotor
CUST022409,TKT0076695,2024-10-30,1,10,Promotor
CUST002785,TKT0030885,2024-08-08,1,9,Promotor
CUST038553,TKT0015870,2025-12-05,1,10,Promotor
CUST010703,TKT0133647,2024-03-13,1,10,Promotor
CUST016083,TKT0118567,2025-11-22,1,8,Neutro
CUST046088,TKT0019267,2022-12-14,1,8,Neutro
CUST004927,TKT0018499,2024-06-06,1,10,Promotor
CUST006634,TKT0050174,2022-07-07,0,1,Detrator
CUST039063,TKT0130483,2025-08-05,0,1,Detrator
CUST010799,TKT0007651,2025-10-16,0,3,Detrator
CUST029243,TKT0019837,2024-03-31,1,8,Neutro
CUST034585,TKT0120201,2023-06-25,1,9,Promotor
CUST041776,TKT0101703,2025-08-11,0,0,Detrator
CUST047490,TKT0102898,2023-03-11,1,9,Promotor
CUST033847,TKT0146268,2024-01-07,1,10,Promotor
CUST010626,TKT0110319,2025-11-08,1,8,Neutro
CUST036660,TKT0128906,2023-05-18,1,9,Promotor
CUST031611,TKT0042200,2023-02-23,1,9,Promotor
CUST005044,TKT0126986,2024-08-11,1,10,Promotor
CUST041872,TKT0018794,2024-09-03,1,8,Neutro
CUST040165,TKT0093875,2022-07-04,1,9,Promotor
CUST040171,TKT0034242,2025-10-05,1,9,Promotor
CUST009939,TKT0097918,2025-03-08,1,9,Promotor
CUST030231,TKT0003524,2025-02-14,1,9,Promotor
CUST013426,TKT0134725,2023-12-08,1,8,Neutro
CUST035286,TKT0066850,2022-06-28,0,0,Detrator
CUST031781,TKT0069212,2025-03-09,0,1,Detrator
CUST017889,TKT0000433,2022-05-03,1,9,Promotor
CUST024028,TKT0009867,2025-11-16,1,9,Promotor
CUST014465,TKT0120665,2024-04-30,1,8,Neutro
CUST025778,TKT0086793,2024-05-20,0,5,Detrator
CUST041356,TKT0129391,2025-12-04,1,9,Promotor
CUST028564,TKT0066488,2024-05-08,0,5,Detrator
CUST004178,TKT0017147,2024-06-07,0,3,Detrator
CUST037596,TKT0054386,2025-09-18,1,8,Neutro
CUST021641,TKT0147638,2023-08-09,1,10,Promotor
CUST015352,TKT0130086,2022-02-10,0,0,Detrator
CUST013276,TKT0008689,2023-12-09,1,8,Neutro
CUST001452,TKT0077027,2025-01-19,0,0,Detrator
CUST038443,TKT0081939,2024-06-10,1,9,Promotor
CUST001236,TKT0059376,2024-11-03,1,8,Neutro
CUST014188,TKT0136256,2025-11-21,0,3,Detrator
CUST047904,TKT0136403,2024-09-28,0,6,Detrator
CUST010464,TKT0125915,2022-03-22,0,3,Detrator
CUST006273,TKT0012887,2022-08-16,1,10,Promotor
CUST047786,TKT0076757,2024-02-27,1,9,Promotor
CUST036276,TKT0075641,2025-07-24,1,9,Promotor
CUST010571,TKT0130682,2024-12-28,1,9,Promotor
CUST004971,TKT0124519,2023-09-15,1,8,Neutro
CUST028459,TKT0084976,2024-09-23,0,3,Detrator
CUST022879,TKT0122037,2024-05-30,1,9,Promotor
CUST028577,TKT0028232,2023-06-24,0,0,Detrator
CUST023136,TKT0044331,2025-02-05,1,10,Promotor
CUST022034,TKT0110255,2023-12-19,0,6,Detrator
CUST001538,TKT0034883,2025-04-25,1,10,Promotor
CUST008421,TKT0075505,2024-12-01,1,9,Promotor
CUST015717,TKT0087082,2023-05-12,1,9,Promotor
CUST018074,TKT0121011,2023-10-18,1,8,Neutro
CUST049851,TKT0086212,2025-08-24,1,10,Promotor
CUST022868,TKT0005526,2023-07-02,1,10,Promotor
CUST037175,TKT0104317,2024-09-29,1,10,Promotor
CUST011695,TKT0037281,2024-12-26,1,8,Neutro
CUST018161,TKT0081286,2025-10-05,1,8,Neutro
CUST030402,TKT0047615,2025-07-18,1,10,Promotor
CUST018959,TKT0030023,2023-03-01,1,10,Promotor
CUST000875,TKT0013809,2025-02-21,1,9,Promotor
CUST026800,TKT0115547,2025-01-09,0,0,Detrator
CUST032923,TKT0046941,2024-09-11,0,6,Detrator
CUST023309,TKT0121076,2023-06-09,1,10,Promotor
CUST026233,TKT0029173,2022-01-27,1,8,Neutro
CUST041169,TKT0012828,2025-05-07,1,9,Promotor
CUST001850,TKT0132580,2022-10-11,1,9,Promotor
CUST020285,TKT0120164,2023-07-19,1,9,Promotor
CUST032738,TKT0014649,2023-07-26,1,9,Promotor
CUST026507,TKT0079927,2025-10-12,0,4,Detrator
CUST038239,TKT0138394,2022-02-17,0,5,Detrator
CUST036828,TKT0107278,2024-04-03,1,8,Neutro
CUST016642,TKT0056919,2024-11-04,1,9,Promotor
CUST010359,TKT0133795,2025-04-07,1,8,Neutro
CUST046046,TKT0101918,2022-12-28,1,9,Promotor
CUST023099,TKT0139266,2022-12-25,1,10,Promotor
CUST035754,TKT0096334,2022-07-22,1,9,Promotor
CUST016165,TKT0017737,2022-07-31,0,4,Detrator
CUST037833,TKT0130877,2023-05-15,1,9,Promotor
CUST007607,TKT0020968,2025-05-18,1,10,Promotor
CUST020699,TKT0004173,2024-12-02,0,4,Detrator
CUST009339,TKT0137374,2024-10-12,0,2,Detrator
CUST010243,TKT0040220,2023-11-06,1,10,Promotor
CUST025041,TKT0121153,2025-01-27,1,9,Promotor
CUST012842,TKT0130269,2023-05-01,1,8,Neutro
CUST017133,TKT0016183,2023-05-21,0,1,Detrator
CUST037312,TKT0055878,2025-01-26,1,9,Promotor
CUST047893,TKT0016543,2023-12-10,1,10,Promotor
CUST039348,TKT0132567,2024-10-16,0,2,Detrator
CUST046481,TKT0123775,2025-01-24,1,9,Promotor
CUST028193,TKT0085894,2022-09-06,1,8,Neutro
CUST027064,TKT0107981,2023-02-12,0,2,Detrator
CUST025759,TKT0026770,2022-11-03,1,8,Neutro
CUST009827,TKT0006755,2022-11-04,1,8,Neutro
CUST007044,TKT0102624,2025-06-04,1,8,Neutro
CUST020828,TKT0004380,2025-01-05,1,9,Promotor
CUST027171,TKT0121719,2023-05-30,1,8,Neutro
CUST048021,TKT0093598,2023-05-24,1,10,Promotor
CUST000037,TKT0080934,2025-02-14,1,9,Promotor
CUST027521,TKT0101688,2024-01-10,1,8,Neutro
CUST022594,TKT0003572,2024-05-19,0,1,Detrator
CUST008054,TKT0138617,2024-01-05,1,10,Promotor
